Metrekare,OdaSayisi,BinaYasi,Sehir,Ilce,Fiyat
125,4,21,İzmir,Balçova,3150000
125,4,25,İzmir,Balçova,3150000
130,4,35,İzmir,Balçova,3770000
110,4,35,İzmir,Balçova,2350000
125,4,21,İzmir,Balçova,4600000
115,3,8,İzmir,Balçova,3150000
130,4,30,İzmir,Balçova,1950000
90,3,30,İzmir,Balçova,2250000
125,4,33,İzmir,Balçova,4250000
180,4,19,İzmir,Balçova,6250000
105,3,5,İzmir,Balçova,4450000
110,4,30,İzmir,Balçova,2350000
110,3,13,İzmir,Balçova,2125000
125,4,26,İzmir,Balçova,3400000
170,4,28,İzmir,Balçova,3750000
95,3,26,İzmir,Balçova,3100000
140,4,25,İzmir,Balçova,3500000
95,3,3,İzmir,Balçova,3400000
85,3,33,İzmir,Balçova,3100000
55,0,30,İzmir,Balçova,1600000
120,4,26,İzmir,Balçova,2500000
170,4,28,İzmir,Balçova,3950000
145,4,6,İzmir,Balçova,4650000
105,3,30,İzmir,Balçova,2250000
128,3,5,İzmir,Balçova,4250000
115,3,7,İzmir,Balçova,4000000
115,3,8,İzmir,Balçova,3150000
130,4,30,İzmir,Balçova,1950000
90,3,30,İzmir,Balçova,2250000
125,4,33,İzmir,Balçova,4250000
180,4,19,İzmir,Balçova,6250000
105,3,5,İzmir,Balçova,4450000
110,4,30,İzmir,Balçova,2350000
110,3,13,İzmir,Balçova,2125000
125,4,26,İzmir,Balçova,3400000
170,4,28,İzmir,Balçova,3750000
95,3,26,İzmir,Balçova,3100000
140,4,25,İzmir,Balçova,3500000
95,3,3,İzmir,Balçova,3400000
85,3,33,İzmir,Balçova,3100000
55,0,30,İzmir,Balçova,1600000
120,4,26,İzmir,Balçova,2500000
170,4,28,İzmir,Balçova,3950000
145,4,6,İzmir,Balçova,4650000
105,3,30,İzmir,Balçova,2250000
128,3,5,İzmir,Balçova,4250000
115,3,7,İzmir,Balçova,4000000
85,3,30,İzmir,Balçova,1600000
165,3,30,İzmir,Balçova,2500000
105,3,8,İzmir,Balçova,3150000
140,4,25,İzmir,Balçova,3500000
130,4,30,İzmir,Balçova,1950000
110,3,30,İzmir,Balçova,2050000
47,0,30,İzmir,Balçova,1600000
110,4,6,İzmir,Balçova,5800000
167,4,35,İzmir,Balçova,3750000
110,3,31,İzmir,Balçova,4700000
115,4,11,İzmir,Balçova,4650000
155,4,3,İzmir,Balçova,6700000
295,6,16,İzmir,Balçova,15500000
120,4,34,İzmir,Balçova,2600000
185,4,30,İzmir,Balçova,6000000
204,7,25,İzmir,Balçova,12500000
140,4,26,İzmir,Balçova,3500000
165,5,28,İzmir,Balçova,4200000
120,4,35,İzmir,Balçova,3250000
105,3,28,İzmir,Balçova,2500000
115,3,7,İzmir,Balçova,4950000
125,4,20,İzmir,Balçova,3500000
110,3,17,İzmir,Balçova,6500000
130,4,30,İzmir,Balçova,4500000
110,3,30,İzmir,Balçova,2000000
140,4,0,İzmir,Balçova,6500000
330,5,21,İzmir,Balçova,10750000
165,5,30,İzmir,Balçova,4500000
110,3,31,İzmir,Balçova,2800000
111,4,30,İzmir,Balçova,2500000
110,3,21,İzmir,Balçova,2250000
75,3,8,İzmir,Balçova,1800000
91,7,35,İzmir,Balçova,2500000
550,9,12,İzmir,Balçova,40000000
142,4,34,İzmir,Balçova,3350000
90,3,8,İzmir,Balçova,4200000
115,4,30,İzmir,Balçova,3500000
400,8,12,İzmir,Balçova,26500000
120,3,27,İzmir,Balçova,3150000
87,3,0,İzmir,Balçova,4250000
110,3,21,İzmir,Balçova,2500000
90,3,30,İzmir,Balçova,1990000
95,3,10,İzmir,Balçova,3275000
170,4,13,İzmir,Balçova,15500000
120,4,36,İzmir,Balçova,3500000
80,3,35,İzmir,Balçova,2650000
145,4,38,İzmir,Balçova,2500000
160,4,33,İzmir,Balçova,3500000
85,3,31,İzmir,Balçova,3100000
182,4,13,İzmir,Balçova,5000000
356,6,0,İzmir,Balçova,18500000
118,4,5,İzmir,Balçova,5800000
120,4,30,İzmir,Balçova,2250000
105,3,30,İzmir,Balçova,2250000
110,4,26,İzmir,Balçova,3150000
58,2,2,İzmir,Balçova,2250000
280,6,20,İzmir,Balçova,15500000
160,4,30,İzmir,Balçova,4500000
160,3,28,İzmir,Balçova,2500000
55,2,6,İzmir,Balçova,3000000
245,4,13,İzmir,Balçova,5000000
400,7,21,İzmir,Balçova,48000000
132,4,30,İzmir,Balçova,3500000
135,4,26,İzmir,Balçova,3650000
320,6,31,İzmir,Balçova,20900000
95,3,0,İzmir,Balçova,4750000
210,6,5,İzmir,Balçova,11850000
100,3,15,İzmir,Balçova,3150000
145,4,0,İzmir,Balçova,6500000
209,5,14,İzmir,Balçova,14750000
230,4,17,İzmir,Balçova,5650000
75,3,3,İzmir,Balçova,3500000
125,4,29,İzmir,Balçova,2100000
135,4,27,İzmir,Balçova,2700000
55,2,4,İzmir,Balçova,2050000
120,4,35,İzmir,Balçova,2750000
115,3,4,İzmir,Balçova,4250000
110,3,26,İzmir,Balçova,2800000
75,3,5,İzmir,Balçova,3500000
35,2,26,İzmir,Balçova,1500000
130,4,24,İzmir,Balçova,5500000
100,3,30,İzmir,Balçova,2200000
120,4,30,İzmir,Balçova,2850000
119,3,3,İzmir,Balçova,1850000
130,4,31,İzmir,Balçova,4250000
128,3,5,İzmir,Balçova,4250000
265,5,10,İzmir,Balçova,25000000
80,3,42,İzmir,Balçova,2500000
100,3,5,İzmir,Balçova,4250000
95,3,20,İzmir,Balçova,4000000
135,4,28,İzmir,Balçova,2800000
100,3,30,İzmir,Balçova,2250000
120,3,28,İzmir,Balçova,3150000
145,4,28,İzmir,Balçova,6500000
137,4,35,İzmir,Balçova,3500000
150,4,7,İzmir,Balçova,4500000
110,3,25,İzmir,Balçova,2190000
55,2,6,İzmir,Balçova,2780000
145,4,6,İzmir,Balçova,4650000
100,3,8,İzmir,Balçova,3000000
188,4,21,İzmir,Balçova,9500000
115,3,4,İzmir,Balçova,4450000
120,4,32,İzmir,Balçova,3000000
121,4,12,İzmir,Balçova,4500000
135,4,30,İzmir,Balçova,3650000
88,3,26,İzmir,Balçova,2800000
135,4,18,İzmir,Balçova,4500000
120,4,26,İzmir,Balçova,2622000
150,4,18,İzmir,Balçova,3600000
115,4,46,İzmir,Balçova,2500000
90,3,4,İzmir,Balçova,3900000
115,4,26,İzmir,Balçova,3200000
105,4,5,İzmir,Balçova,5800000
120,4,20,İzmir,Balçova,2350000
90,3,30,İzmir,Balçova,1850000
120,4,45,İzmir,Balçova,3500000
95,3,5,İzmir,Balçova,4250000
135,4,28,İzmir,Balçova,4500000
105,3,5,İzmir,Balçova,3590000
125,4,35,İzmir,Balçova,2700000
100,3,35,İzmir,Balçova,2650000
117,3,30,İzmir,Balçova,4850000
100,3,7,İzmir,Balçova,3000000
90,3,3,İzmir,Balçova,3400000
90,3,26,İzmir,Balçova,2900000
120,4,30,İzmir,Balçova,2950000
145,4,30,İzmir,Balçova,2350000
80,3,38,İzmir,Balçova,2500000
110,3,30,İzmir,Balçova,2000000
85,3,9,İzmir,Balçova,5000000
120,4,30,İzmir,Balçova,3000000
125,4,50,İzmir,Balçova,3100000
125,4,7,İzmir,Balçova,4150000
90,3,26,İzmir,Balçova,2600000
148,4,28,İzmir,Balçova,4500000
300,5,16,İzmir,Balçova,9650000
255,7,8,İzmir,Balçova,25500000
135,4,20,İzmir,Balçova,4500000
135,4,30,İzmir,Balçova,3600000
140,4,3,İzmir,Balçova,6250000
75,3,40,İzmir,Balçova,1925000
135,4,27,İzmir,Balçova,3750000
185,4,9,İzmir,Balçova,7300000
135,4,30,İzmir,Balçova,2750000
140,4,30,İzmir,Balçova,4500000
100,3,3,İzmir,Balçova,3990000
155,4,5,İzmir,Balçova,3500000
156,4,25,İzmir,Balçova,4000000
400,5,15,İzmir,Balçova,15000000
90,3,28,İzmir,Balçova,3000000
75,2,0,İzmir,Balçova,3650000
145,4,35,İzmir,Balçova,3500000
155,4,11,İzmir,Balçova,3650000
120,4,21,İzmir,Balçova,3320000
110,3,35,İzmir,Balçova,2800000
260,5,0,İzmir,Balçova,15000000
95,3,38,İzmir,Balçova,2350000
210,6,7,İzmir,Balçova,11850000
90,3,35,İzmir,Balçova,2200000
75,2,7,İzmir,Balçova,3500000
120,3,30,İzmir,Balçova,3850000
350,6,0,İzmir,Balçova,29000000
100,3,11,İzmir,Balçova,3500000
135,4,30,İzmir,Balçova,3500000
100,3,12,İzmir,Balçova,3950000
150,5,10,İzmir,Balçova,13000000
165,4,35,İzmir,Balçova,4250000
95,3,35,İzmir,Balçova,2700000
95,3,4,İzmir,Balçova,5500000
150,5,3,İzmir,Balçova,5500000
105,3,30,İzmir,Balçova,2250000
110,3,5,İzmir,Balçova,3850000
100,4,31,İzmir,Balçova,2850000
85,3,30,İzmir,Balçova,1600000
165,3,30,İzmir,Balçova,2500000
105,3,8,İzmir,Balçova,3150000
140,4,25,İzmir,Balçova,3500000
130,4,30,İzmir,Balçova,1950000
110,3,30,İzmir,Balçova,2050000
47,0,30,İzmir,Balçova,1600000
110,4,6,İzmir,Balçova,5800000
167,4,35,İzmir,Balçova,3750000
110,3,31,İzmir,Balçova,4700000
115,4,11,İzmir,Balçova,4650000
155,4,3,İzmir,Balçova,6700000
295,6,16,İzmir,Balçova,15500000
120,4,34,İzmir,Balçova,2600000
185,4,30,İzmir,Balçova,6000000
204,7,25,İzmir,Balçova,12500000
140,4,26,İzmir,Balçova,3500000
165,5,28,İzmir,Balçova,4200000
120,4,35,İzmir,Balçova,3250000
105,3,28,İzmir,Balçova,2500000
115,3,7,İzmir,Balçova,4950000
125,4,20,İzmir,Balçova,3500000
110,3,17,İzmir,Balçova,6500000
130,4,30,İzmir,Balçova,4500000
110,3,30,İzmir,Balçova,2000000
140,4,0,İzmir,Balçova,6500000
330,5,21,İzmir,Balçova,10750000
165,5,30,İzmir,Balçova,4500000
110,3,31,İzmir,Balçova,2800000
111,4,30,İzmir,Balçova,2500000
110,3,21,İzmir,Balçova,2250000
75,3,8,İzmir,Balçova,1800000
91,7,35,İzmir,Balçova,2500000
550,9,12,İzmir,Balçova,40000000
142,4,34,İzmir,Balçova,3350000
90,3,8,İzmir,Balçova,4200000
115,4,30,İzmir,Balçova,3500000
400,8,12,İzmir,Balçova,26500000
120,3,27,İzmir,Balçova,3150000
87,3,0,İzmir,Balçova,4250000
110,3,21,İzmir,Balçova,2500000
90,3,30,İzmir,Balçova,1990000
95,3,10,İzmir,Balçova,3275000
170,4,13,İzmir,Balçova,15500000
120,4,36,İzmir,Balçova,3500000
80,3,35,İzmir,Balçova,2650000
145,4,38,İzmir,Balçova,2500000
160,4,33,İzmir,Balçova,3500000
85,3,31,İzmir,Balçova,3100000
182,4,13,İzmir,Balçova,5000000
356,6,0,İzmir,Balçova,18500000
118,4,5,İzmir,Balçova,5800000
120,4,30,İzmir,Balçova,2250000
105,3,30,İzmir,Balçova,2250000
110,4,26,İzmir,Balçova,3150000
58,2,2,İzmir,Balçova,2250000
280,6,20,İzmir,Balçova,15500000
160,4,30,İzmir,Balçova,4500000
160,3,28,İzmir,Balçova,2500000
55,2,6,İzmir,Balçova,3000000
245,4,13,İzmir,Balçova,5000000
400,7,21,İzmir,Balçova,48000000
132,4,30,İzmir,Balçova,3500000
135,4,26,İzmir,Balçova,3650000
320,6,31,İzmir,Balçova,20900000
95,3,0,İzmir,Balçova,4750000
210,6,5,İzmir,Balçova,11850000
100,3,15,İzmir,Balçova,3150000
145,4,0,İzmir,Balçova,6500000
209,5,14,İzmir,Balçova,14750000
230,4,17,İzmir,Balçova,5650000
75,3,3,İzmir,Balçova,3500000
125,4,29,İzmir,Balçova,2100000
135,4,27,İzmir,Balçova,2700000
55,2,4,İzmir,Balçova,2050000
120,4,35,İzmir,Balçova,2750000
115,3,4,İzmir,Balçova,4250000
110,3,26,İzmir,Balçova,2800000
75,3,5,İzmir,Balçova,3500000
35,2,26,İzmir,Balçova,1500000
130,4,24,İzmir,Balçova,5500000
100,3,30,İzmir,Balçova,2200000
120,4,30,İzmir,Balçova,2850000
119,3,3,İzmir,Balçova,1850000
130,4,31,İzmir,Balçova,4250000
128,3,5,İzmir,Balçova,4250000
265,5,10,İzmir,Balçova,25000000
80,3,42,İzmir,Balçova,2500000
100,3,5,İzmir,Balçova,4250000
95,3,20,İzmir,Balçova,4000000
135,4,28,İzmir,Balçova,2800000
100,3,30,İzmir,Balçova,2250000
120,3,28,İzmir,Balçova,3150000
145,4,28,İzmir,Balçova,6500000
137,4,35,İzmir,Balçova,3500000
150,4,7,İzmir,Balçova,4500000
110,3,25,İzmir,Balçova,2190000
55,2,6,İzmir,Balçova,2780000
145,4,6,İzmir,Balçova,4650000
100,3,8,İzmir,Balçova,3000000
188,4,21,İzmir,Balçova,9500000
115,3,4,İzmir,Balçova,4450000
120,4,32,İzmir,Balçova,3000000
121,4,12,İzmir,Balçova,4500000
135,4,30,İzmir,Balçova,3650000
88,3,26,İzmir,Balçova,2800000
135,4,18,İzmir,Balçova,4500000
120,4,26,İzmir,Balçova,2622000
150,4,18,İzmir,Balçova,3600000
115,4,46,İzmir,Balçova,2500000
90,3,4,İzmir,Balçova,3900000
115,4,26,İzmir,Balçova,3200000
105,4,5,İzmir,Balçova,5800000
120,4,20,İzmir,Balçova,2350000
90,3,30,İzmir,Balçova,1850000
120,4,45,İzmir,Balçova,3500000
95,3,5,İzmir,Balçova,4250000
135,4,28,İzmir,Balçova,4500000
105,3,5,İzmir,Balçova,3590000
125,4,35,İzmir,Balçova,2700000
100,3,35,İzmir,Balçova,2650000
117,3,30,İzmir,Balçova,4850000
100,3,7,İzmir,Balçova,3000000
90,3,3,İzmir,Balçova,3400000
90,3,26,İzmir,Balçova,2900000
120,4,30,İzmir,Balçova,2950000
145,4,30,İzmir,Balçova,2350000
80,3,38,İzmir,Balçova,2500000
110,3,30,İzmir,Balçova,2000000
85,3,9,İzmir,Balçova,5000000
120,4,30,İzmir,Balçova,3000000
125,4,50,İzmir,Balçova,3100000
125,4,7,İzmir,Balçova,4150000
90,3,26,İzmir,Balçova,2600000
148,4,28,İzmir,Balçova,4500000
300,5,16,İzmir,Balçova,9650000
255,7,8,İzmir,Balçova,25500000
135,4,20,İzmir,Balçova,4500000
135,4,30,İzmir,Balçova,3600000
140,4,3,İzmir,Balçova,6250000
75,3,40,İzmir,Balçova,1925000
135,4,27,İzmir,Balçova,3750000
185,4,9,İzmir,Balçova,7300000
135,4,30,İzmir,Balçova,2750000
140,4,30,İzmir,Balçova,4500000
100,3,3,İzmir,Balçova,3990000
155,4,5,İzmir,Balçova,3500000
156,4,25,İzmir,Balçova,4000000
400,5,15,İzmir,Balçova,15000000
90,3,28,İzmir,Balçova,3000000
75,2,0,İzmir,Balçova,3650000
145,4,35,İzmir,Balçova,3500000
155,4,11,İzmir,Balçova,3650000
120,4,21,İzmir,Balçova,3320000
110,3,35,İzmir,Balçova,2800000
260,5,0,İzmir,Balçova,15000000
95,3,38,İzmir,Balçova,2350000
210,6,7,İzmir,Balçova,11850000
90,3,35,İzmir,Balçova,2200000
75,2,7,İzmir,Balçova,3500000
120,3,30,İzmir,Balçova,3850000
350,6,0,İzmir,Balçova,29000000
100,3,11,İzmir,Balçova,3500000
135,4,30,İzmir,Balçova,3500000
100,3,12,İzmir,Balçova,3950000
150,5,10,İzmir,Balçova,13000000
165,4,35,İzmir,Balçova,4250000
95,3,35,İzmir,Balçova,2700000
95,3,4,İzmir,Balçova,5500000
150,5,3,İzmir,Balçova,5500000
105,3,30,İzmir,Balçova,2250000
110,3,5,İzmir,Balçova,3850000
100,4,31,İzmir,Balçova,2850000
200,5,25,İzmir,Balçova,12000000
60,2,31,İzmir,Balçova,1590000
85,3,33,İzmir,Balçova,3100000
100,4,26,İzmir,Balçova,2950000
75,3,5,İzmir,Balçova,3500000
125,4,23,İzmir,Balçova,4600000
246,4,31,İzmir,Balçova,20000000
135,4,33,İzmir,Balçova,2800000
128,4,30,İzmir,Balçova,4500000
130,4,32,İzmir,Balçova,1950000
135,4,26,İzmir,Balçova,3600000
80,3,8,İzmir,Balçova,2850000
115,3,26,İzmir,Balçova,3150000
55,2,2,İzmir,Balçova,3000000
100,4,25,İzmir,Balçova,5900000
130,4,35,İzmir,Balçova,3650000
101,3,30,İzmir,Balçova,2150000
